Northing,Easting,RL,
2646806.5,715607.77,-0.44,
2646807.03,715608.03,-0.66,
2646807.6,715608.33,-0.86,
2646808.22,715608.65,-1.04,
2646808.88,715609.01,-1.2,
2646809.57,715609.43,-1.32,
2646810.29,715609.9,-1.36,
2646811.03,715610.43,-1.19,
2646811.76,715611.02,-1,
2646812.47,715611.69,-0.76,
2646813.17,715612.43,-0.52,
2646813.83,715613.24,-0.25,
2646814.46,715614.19,0,
2646815.05,715615.26,0.27,
2646815.61,715616.43,0.55,
2646816.12,715617.69,0.82,
2646816.67,715618.98,1.09,
2646817.2,715620.25,1.36,
2646817.76,715621.53,1.62,
2646818.37,715622.79,1.88,
2646819.02,715624.04,2.13,
2646819.71,715625.3,2.37,
2646820.44,715626.52,2.6,
2646821.23,715627.71,2.84,
2646822.06,715628.89,3.03,
2646822.99,715630.05,3.18,
2646824.04,715631.17,3.32,
2646825.2,715632.26,3.42,
2646826.44,715633.3,3.5,
2646827.78,715634.31,3.56,
2646829.22,715635.23,3.59,
2646830.74,715636.09,3.59,
2646832.35,715636.88,3.56,
2646834,715637.6,3.52,
2646835.74,715638.29,3.48,
2646837.51,715638.97,3.45,
2646839.24,715639.66,3.44,
2646840.97,715640.36,3.44,
2646842.68,715641.11,3.44,
2646844.39,715641.95,3.44,
2646846.09,715642.86,3.43,
2646847.73,715643.88,3.43,
2646849.33,715645.02,3.45,
2646850.91,715646.26,3.49,
2646852.48,715647.58,3.53,
2646854.03,715648.97,3.57,
2646855.59,715650.41,3.59,
2646857.17,715651.85,3.59,
2646858.78,715653.29,3.56,
2646860.4,715654.71,3.54,
2646862.04,715656.1,3.53,
2646863.73,715657.45,3.53,
2646865.43,715658.82,3.53,
2646867.15,715660.17,3.5,
2646868.91,715661.5,3.46,
2646870.67,715662.82,3.41,
2646872.43,715664.14,3.37,
2646874.24,715665.46,3.35,
2646876.07,715666.76,3.35,
2646877.91,715668.08,3.38,
2646879.77,715669.41,3.42,
2646881.63,715670.74,3.45,
2646883.48,715672.1,3.47,
2646885.33,715673.52,3.49,
2646887.2,715674.96,3.52,
2646889.06,715676.43,3.57,
2646890.95,715677.9,3.59,
2646892.86,715679.35,3.58,
2646894.75,715680.75,3.6,
2646896.55,715682.05,3.61,
2646898.25,715683.25,3.6,
2646899.86,715684.31,3.59,
2646901.34,715685.2,3.57,
2646904.86,715674.88,2.45,
2646903.97,715673.53,2.32,
2646902.98,715672.23,2.37,
2646901.87,715670.98,2.43,
2646900.69,715669.72,2.47,
2646899.41,715668.5,2.5,
2646898.08,715667.32,2.51,
2646896.7,715666.13,2.49,
2646895.26,715664.95,2.44,
2646893.77,715663.81,2.4,
2646892.26,715662.65,2.35,
2646890.71,715661.47,2.33,
2646889.14,715660.32,2.33,
2646887.57,715659.13,2.3,
2646885.99,715657.93,2.27,
2646884.41,715656.72,2.21,
2646882.83,715655.49,2.18,
2646881.25,715654.2,2.17,
2646879.68,715652.88,2.19,
2646878.08,715651.51,2.24,
2646876.49,715650.12,2.29,
2646874.91,715648.75,2.38,
2646873.37,715647.42,2.49,
2646871.83,715646.11,2.59,
2646870.3,715644.82,2.61,
2646868.76,715643.56,2.63,
2646867.23,715642.33,2.68,
2646865.69,715641.13,2.72,
2646864.16,715639.98,2.75,
2646862.66,715638.89,2.79,
2646861.19,715637.84,2.82,
2646859.7,715636.82,2.86,
2646858.22,715635.8,2.87,
2646856.75,715634.8,2.88,
2646855.28,715633.83,2.89,
2646853.82,715632.88,2.93,
2646852.38,715631.97,2.96,
2646850.95,715631.08,2.99,
2646849.55,715630.22,2.99,
2646848.19,715629.36,2.97,
2646846.87,715628.51,2.95,
2646845.55,715627.69,2.92,
2646844.25,715626.85,2.9,
2646842.97,715625.99,2.88,
2646841.7,715625.13,2.86,
2646840.45,715624.27,2.82,
2646839.22,715623.42,2.78,
2646837.97,715622.58,2.71,
2646836.75,715621.75,2.63,
2646835.54,715620.94,2.53,
2646834.33,715620.14,2.42,
2646833.12,715619.37,2.28,
2646831.9,715618.6,2.11,
2646830.74,715617.85,1.89,
2646829.53,715617.13,1.64,
2646828.36,715616.4,1.39,
2646827.19,715615.66,1.14,
2646826.03,715614.93,0.87,
2646824.89,715614.21,0.61,
2646823.76,715613.51,0.34,
2646822.65,715612.81,0.07,
2646821.57,715612.07,-0.19,
2646820.5,715611.35,-0.45,
2646819.46,715610.63,-0.68,
2646818.45,715609.93,-0.87,
2646817.49,715609.26,-1.02,
2646816.57,715608.59,-1.12,
2646815.69,715607.93,-1.16,
2646814.86,715607.3,-1.11,
2646814.06,715606.68,-1.02,
2646813.28,715606.03,-0.86,
2646812.57,715605.41,-0.63,
2646811.94,715604.83,-0.3,
2646811.41,715604.27,0.06,
2646810.94,715603.71,0.42,
2646810.54,715603.18,0.81,
2646810.16,715602.64,1.18,
2646809.79,715602.07,1.52,
2646809.43,715601.48,1.81,
2646809.13,715600.91,2.03,
2646809.06,715600.55,2.24,
2646809.02,715600.33,2.4,
2646809.01,715600.29,2.52,
2646809,715600.29,2.55,
2646809,715600.29,2.57,
2646809,715600.29,2.6,
2646809,715600.29,2.61,
2646808.99,715600.3,2.61,
2646808.99,715600.31,2.61,
2646808.98,715600.31,2.61,
2646808.99,715600.31,2.6,
2646808.98,715600.31,2.6,
2646808.98,715600.31,2.6,
2646820.88,715601.58,-1.54,
2646822.05,715601.81,-1.45,
2646823.26,715602.12,-1.41,
2646824.54,715602.52,-1.33,
2646825.82,715603.05,-1.22,
2646827.1,715603.66,-1.07,
2646828.38,715604.4,-0.91,
2646829.69,715605.3,-0.72,
2646831.04,715606.43,-0.54,
2646832.45,715607.61,-0.35,
2646833.9,715608.84,-0.15,
2646835.42,715610.13,0.05,
2646837,715611.44,0.25,
2646838.65,715612.75,0.42,
2646840.42,715613.97,0.58,
2646842.24,715615.16,0.71,
2646844.14,715616.32,0.79,
2646846.11,715617.41,0.84,
2646848.11,715618.48,0.96,
2646850.13,715619.54,1.09,
2646852.16,715620.62,1.21,
2646854.17,715621.73,1.35,
2646856.16,715622.9,1.48,
2646858.12,715624.13,1.62,
2646860.02,715625.46,1.78,
2646861.84,715626.85,1.91,
2646863.67,715628.34,2.03,
2646865.5,715629.89,2.14,
2646867.31,715631.45,2.22,
2646869.14,715632.99,2.27,
2646870.95,715634.5,2.29,
2646872.77,715635.97,2.27,
2646874.59,715637.4,2.23,
2646876.39,715638.83,2.2,
2646878.21,715640.24,2.15,
2646880.03,715641.66,2.06,
2646881.85,715643.07,1.98,
2646883.7,715644.5,1.89,
2646885.51,715645.96,1.81,
2646887.31,715647.46,1.76,
2646889.1,715649.01,1.72,
2646890.89,715650.62,1.68,
2646892.68,715652.28,1.65,
2646894.5,715653.94,1.62,
2646896.36,715655.61,1.57,
2646898.26,715657.29,1.52,
2646900.2,715658.92,1.5,
2646902.16,715660.51,1.48,
2646904.12,715662.02,1.47,
2646906,715663.43,1.48,
2646907.8,715664.74,1.45,
2646909.49,715665.92,1.4,
2646911.1,715666.97,1.39,
2646912.61,715667.87,1.37,
2646914,715668.66,1.36,
2646915.3,715669.32,1.34,
2646916.49,715669.89,1.34,
2646924.76,715665.53,0.05,
2646924.3,715664.88,0.08,
2646923.73,715664.19,0.11,
2646923.07,715663.45,0.14,
2646922.32,715662.69,0.17,
2646921.48,715661.92,0.2,
2646920.56,715661.11,0.21,
2646919.56,715660.28,0.23,
2646918.48,715659.4,0.23,
2646917.34,715658.49,0.21,
2646916.13,715657.53,0.16,
2646914.88,715656.55,0.05,
2646913.6,715655.55,0.01,
2646912.28,715654.54,0,
2646910.93,715653.5,-0.01,
2646909.55,715652.4,0,
2646908.12,715651.27,0.03,
2646906.66,715650.1,0.1,
2646905.16,715648.9,0.18,
2646903.65,715647.69,0.29,
2646902.12,715646.47,0.39,
2646900.57,715645.22,0.5,
2646899.01,715643.94,0.66,
2646897.44,715642.64,0.73,
2646895.9,715641.35,0.78,
2646894.38,715640.1,0.85,
2646892.9,715638.89,0.89,
2646891.45,715637.71,0.93,
2646890.01,715636.57,0.95,
2646888.6,715635.45,0.96,
2646887.2,715634.36,0.96,
2646885.8,715633.3,1.01,
2646884.42,715632.27,1.07,
2646883.05,715631.27,1.15,
2646881.69,715630.31,1.22,
2646880.38,715629.38,1.28,
2646879.08,715628.49,1.32,
2646877.8,715627.61,1.35,
2646876.52,715626.72,1.36,
2646875.24,715625.85,1.32,
2646873.96,715624.98,1.27,
2646872.69,715624.13,1.2,
2646871.43,715623.29,1.11,
2646870.19,715622.48,1.01,
2646868.97,715621.69,0.9,
2646867.77,715620.91,0.8,
2646866.58,715620.15,0.7,
2646865.4,715619.39,0.61,
2646864.23,715618.61,0.52,
2646863.06,715617.83,0.44,
2646861.9,715617.04,0.4,
2646860.75,715616.26,0.36,
2646859.62,715615.48,0.33,
2646858.5,715614.7,0.31,
2646857.38,715613.91,0.29,
2646856.28,715613.11,0.27,
2646855.19,715612.32,0.24,
2646854.11,715611.53,0.21,
2646853.04,715610.73,0.16,
2646851.97,715609.94,0.1,
2646850.91,715609.14,0.03,
2646849.85,715608.35,-0.05,
2646848.79,715607.56,-0.19,
2646847.73,715606.77,-0.32,
2646846.69,715605.98,-0.46,
2646845.64,715605.19,-0.6,
2646844.59,715604.4,-0.74,
2646843.55,715603.62,-0.89,
2646842.5,715602.85,-1.04,
2646841.44,715602.08,-1.19,
2646840.38,715601.31,-1.33,
2646839.32,715600.56,-1.47,
2646838.28,715599.81,-1.59,
2646837.24,715599.08,-1.66,
2646836.23,715598.36,-1.73,
2646835.19,715597.66,-1.79,
2646834.17,715596.99,-1.86,
2646833.12,715596.34,-1.93,
2646832.13,715595.7,-1.98,
2646831.16,715595.11,-2.02,
2646830.23,715594.54,-1.94,
2646829.33,715594,-1.77,
2646828.45,715593.47,-1.57,
2646827.62,715592.95,-1.3,
2646826.83,715592.43,-1,
2646826.07,715591.91,-0.69,
2646825.35,715591.38,-0.34,
2646824.67,715590.86,0.13,
2646824.07,715590.35,0.61,
2646823.58,715589.88,1.07,
2646823.18,715589.41,1.62,
2646822.81,715588.91,2.1,
2646822.47,715588.41,2.49,
2646822.16,715587.89,2.84,
2646821.88,715587.38,3.15,
2646821.68,715586.89,3.43,
2646821.54,715586.45,3.64,
2646821.42,715586.02,3.84,
2646821.34,715585.58,3.94,
2646821.38,715585.23,4.06,
2646821.46,715584.97,4.24,
2646827.6,715584.11,0.2,
2646828.32,715584.14,-0.28,
2646829.06,715584.19,-0.51,
2646829.81,715584.19,-0.73,
2646830.58,715584.23,-0.92,
2646831.37,715584.26,-1.08,
2646832.19,715584.34,-1.22,
2646833.01,715584.46,-1.53,
2646833.84,715584.66,-1.84,
2646834.69,715584.89,-2.13,
2646835.54,715585.19,-2.28,
2646836.41,715585.59,-2.42,
2646837.31,715586.12,-2.51,
2646838.22,715586.82,-2.56,
2646839.17,715587.62,-2.61,
2646840.11,715588.49,-2.64,
2646841.08,715589.38,-2.63,
2646842.05,715590.28,-2.59,
2646843.1,715591.21,-2.5,
2646844.16,715592.15,-2.37,
2646845.23,715593.11,-2.22,
2646846.28,715594.08,-2.06,
2646847.38,715595.07,-1.9,
2646848.51,715596.09,-1.75,
2646849.69,715597.11,-1.57,
2646850.9,715598.16,-1.37,
2646852.14,715599.22,-1.16,
2646853.45,715600.33,-0.97,
2646854.84,715601.48,-0.8,
2646856.31,715602.67,-0.67,
2646857.86,715603.91,-0.57,
2646859.5,715605.17,-0.51,
2646861.19,715606.42,-0.46,
2646862.94,715607.65,-0.4,
2646864.74,715608.85,-0.32,
2646866.6,715610.09,-0.25,
2646868.5,715611.29,-0.17,
2646870.44,715612.47,-0.08,
2646872.43,715613.66,0,
2646874.47,715614.83,0.06,
2646876.51,715616.03,0.1,
2646878.54,715617.22,0.12,
2646880.56,715618.46,0.15,
2646882.54,715619.74,0.21,
2646884.52,715621.07,0.27,
2646886.51,715622.43,0.31,
2646888.5,715623.84,0.34,
2646890.49,715625.27,0.33,
2646892.46,715626.71,0.31,
2646894.42,715628.17,0.25,
2646896.36,715629.64,0.2,
2646898.31,715631.12,0.19,
2646900.27,715632.63,0.2,
2646902.26,715634.11,0.18,
2646904.26,715635.61,0.08,
2646906.27,715637.12,-0.1,
2646908.27,715638.62,-0.27,
2646910.27,715640.13,-0.46,
2646912.26,715641.66,-0.6,
2646914.27,715643.22,-0.72,
2646916.27,715644.8,-0.78,
2646918.24,715646.35,-0.85,
2646920.16,715647.83,-0.96,
2646922.02,715649.23,-1.1,
2646923.81,715650.54,-1.27,
2646941.45,715653.8,-2.24,
2646941.13,715653.41,-2.26,
2646940.81,715652.98,-2.29,
2646940.35,715652.56,-2.31,
2646939.87,715652.08,-2.33,
2646939.32,715651.53,-2.34,
2646938.67,715650.89,-2.32,
2646937.99,715650.19,-2.3,
2646937.21,715649.38,-2.27,
2646936.31,715648.47,-2.24,
2646935.32,715647.48,-2.22,
2646934.22,715646.39,-2.19,
2646932.99,715645.23,-2.14,
2646931.7,715644.05,-2.06,
2646930.34,715642.87,-1.94,
2646928.91,715641.66,-1.81,
2646927.42,715640.43,-1.67,
2646925.87,715639.14,-1.55,
2646924.27,715637.82,-1.46,
2646922.63,715636.45,-1.37,
2646920.95,715635.04,-1.27,
2646919.23,715633.6,-1.15,
2646917.49,715632.13,-1.02,
2646915.72,715630.62,-0.92,
2646913.91,715629.07,-0.84,
2646912.07,715627.49,-0.75,
2646910.18,715625.89,-0.66,
2646908.28,715624.27,-0.61,
2646906.3,715622.67,-0.57,
2646904.29,715621.09,-0.52,
2646902.25,715619.58,-0.47,
2646900.27,715618.19,-0.41,
2646898.33,715616.87,-0.37,
2646896.41,715615.6,-0.33,
2646894.54,715614.38,-0.32,
2646892.71,715613.17,-0.35,
2646890.9,715611.95,-0.44,
2646889.13,715610.76,-0.53,
2646887.41,715609.58,-0.62,
2646885.71,715608.45,-0.69,
2646884.06,715607.33,-0.76,
2646882.44,715606.23,-0.83,
2646880.84,715605.16,-0.92,
2646879.27,715604.12,-1,
2646877.73,715603.09,-1.07,
2646876.21,715602.1,-1.11,
2646874.71,715601.11,-1.12,
2646873.26,715600.14,-1.13,
2646871.84,715599.2,-1.14,
2646870.43,715598.29,-1.17,
2646869.07,715597.35,-1.21,
2646867.72,715596.45,-1.25,
2646866.41,715595.55,-1.3,
2646865.14,715594.66,-1.38,
2646863.91,715593.8,-1.5,
2646862.69,715592.94,-1.63,
2646861.51,715592.09,-1.78,
2646860.34,715591.25,-1.93,
2646859.21,715590.41,-2.09,
2646858.09,715589.57,-2.25,
2646857,715588.75,-2.41,
2646855.93,715587.95,-2.57,
2646854.89,715587.14,-2.73,
2646853.87,715586.32,-2.9,
2646852.86,715585.51,-3.04,
2646851.87,715584.71,-3.13,
2646850.91,715583.9,-3.22,
2646849.99,715583.11,-3.28,
2646849.07,715582.34,-3.32,
2646848.16,715581.57,-3.33,
2646847.28,715580.83,-3.31,
2646846.42,715580.11,-3.27,
2646844.86,715578.72,-3.21,
2646844.15,715578.03,-3.08,
2646843.49,715577.37,-2.98,
2646842.85,715576.7,-2.82,
2646842.25,715576.03,-2.64,
2646841.7,715575.36,-2.37,
2646841.2,715574.69,-2.05,
2646840.74,715574.03,-1.68,
2646840.33,715573.36,-1.25,
2646839.93,715572.67,-0.76,
2646839.58,715571.97,-0.56,
2646839.26,715571.32,-0.32,
2646838.99,715570.69,-0.09,
2646838.72,715570.07,0.23,
2646838.47,715569.49,0.56,
2646838.43,715564.27,4.6,
2646838.67,715564.42,4.37,
2646838.9,715564.62,4.28,
2646839.14,715564.85,4.21,
2646839.42,715565.11,4.15,
2646839.72,715565.44,4.04,
2646840.07,715565.83,3.92,
2646840.37,715566.24,3.57,
2646840.64,715566.6,3.24,
2646840.92,715566.99,2.89,
2646841.17,715567.33,2.55,
2646841.48,715567.61,2.17,
2646841.81,715567.83,1.81,
2646842.18,715568.02,1.43,
2646842.62,715568.15,1.01,
2646843.14,715568.24,0.59,
2646843.75,715568.25,0.16,
2646844.4,715568.24,-0.24,
2646845.06,715568.26,-0.61,
2646845.73,715568.26,-0.99,
2646846.42,715568.25,-1.3,
2646847.18,715568.29,-1.62,
2646847.98,715568.36,-2.02,
2646848.84,715568.47,-2.39,
2646849.76,715568.63,-2.78,
2646850.74,715568.85,-3.11,
2646851.75,715569.18,-3.41,
2646852.8,715569.55,-3.64,
2646853.84,715570.02,-3.86,
2646854.95,715570.63,-3.97,
2646856.1,715571.41,-4.04,
2646857.26,715572.38,-4.07,
2646858.44,715573.54,-4.07,
2646859.63,715574.86,-3.91,
2646860.82,715576.32,-3.74,
2646862.04,715577.86,-3.52,
2646863.25,715579.37,-3.3,
2646864.46,715580.81,-3.09,
2646865.7,715582.17,-2.89,
2646866.96,715583.44,-2.69,
2646868.3,715584.64,-2.5,
2646869.67,715585.81,-2.33,
2646871.07,715586.94,-2.21,
2646874.07,715589.21,-2.12,
2646875.66,715590.37,-2.05,
2646877.28,715591.54,-2.02,
2646878.95,715592.75,-1.98,
2646880.63,715593.99,-1.94,
2646882.33,715595.24,-1.89,
2646884.06,715596.55,-1.83,
2646885.81,715597.88,-1.76,
2646887.58,715599.24,-1.67,
2646889.37,715600.62,-1.58,
2646891.19,715602.01,-1.48,
2646893.04,715603.37,-1.39,
2646894.87,715604.68,-1.37,
2646896.7,715606.02,-1.31,
2646898.52,715607.36,-1.25,
2646900.37,715608.71,-1.24,
2646902.21,715610.08,-1.25,
2646904.04,715611.52,-1.26,
2646905.85,715612.99,-1.31,
2646907.64,715614.5,-1.41,
2646909.44,715616.05,-1.51,
2646911.24,715617.63,-1.64,
2646913.06,715619.21,-1.71,
2646914.91,715620.81,-1.73,
2646916.78,715622.4,-1.85,
2646918.7,715624.01,-2.01,
2646920.67,715625.61,-2.09,
2646922.7,715627.18,-2.17,
2646924.77,715628.7,-2.3,
2646926.89,715630.18,-2.38,
2646929.02,715631.62,-2.48,
2646931.18,715633.05,-2.57,
2646933.35,715634.47,-2.61,
2646935.55,715635.86,-2.71,
2646937.77,715637.23,-2.8,
2646940,715638.6,-2.82,
2646942.22,715639.99,-2.8,
2646944.44,715641.38,-2.85,
2646946.65,715642.74,-2.92,
2646952.71,715632.44,-3.2,
2646950.81,715631.08,-3.21,
2646948.85,715629.76,-3.28,
2646946.87,715628.41,-3.32,
2646944.74,715627.05,-3.34,
2646942.53,715625.67,-3.34,
2646940.25,715624.26,-3.36,
2646937.96,715622.84,-3.38,
2646935.69,715621.39,-3.38,
2646933.44,715619.87,-3.35,
2646931.19,715618.26,-3.28,
2646928.93,715616.59,-3.19,
2646926.71,715614.91,-3.12,
2646924.54,715613.25,-3,
2646922.42,715611.63,-2.88,
2646920.36,715610,-2.78,
2646918.34,715608.35,-2.68,
2646916.36,715606.72,-2.59,
2646914.4,715605.12,-2.55,
2646912.47,715603.58,-2.61,
2646910.57,715602.08,-2.66,
2646908.67,715600.64,-2.72,
2646906.79,715599.24,-2.79,
2646904.92,715597.92,-2.8,
2646903.1,715596.65,-2.81,
2646901.28,715595.45,-2.84,
2646899.48,715594.27,-2.87,
2646897.7,715593.14,-2.9,
2646895.94,715592.04,-2.92,
2646894.23,715590.99,-2.89,
2646892.55,715589.96,-2.79,
2646890.89,715588.94,-2.73,
2646889.26,715587.94,-2.7,
2646887.66,715586.96,-2.69,
2646886.12,715585.98,-2.71,
2646884.64,715585.03,-2.74,
2646883.22,715584.09,-2.78,
2646881.83,715583.12,-2.81,
2646880.47,715582.15,-2.88,
2646879.15,715581.19,-2.95,
2646877.88,715580.22,-3.03,
2646876.64,715579.24,-3.12,
2646875.45,715578.28,-3.22,
2646874.28,715577.33,-3.33,
2646873.15,715576.38,-3.44,
2646872.05,715575.45,-3.56,
2646870.97,715574.51,-3.69,
2646869.94,715573.57,-3.82,
2646868.92,715572.64,-3.95,
2646867.94,715571.71,-4.04,
2646866.97,715570.79,-4.12,
2646866.04,715569.87,-4.21,
2646865.12,715568.96,-4.29,
2646864.21,715568.05,-4.35,
2646863.34,715567.15,-4.38,
2646862.49,715566.26,-4.38,
2646861.66,715565.39,-4.33,
2646860.87,715564.55,-4.24,
2646860.14,715563.77,-4.13,
2646859.44,715563.01,-3.99,
2646858.79,715562.31,-3.85,
2646858.2,715561.66,-3.69,
2646857.67,715561.02,-3.43,
2646857.16,715560.43,-3.07,
2646856.7,715559.85,-2.63,
2646856.28,715559.28,-2.19,
2646855.9,715558.7,-2,
2646855.6,715558.14,-1.82,
2646855.15,715557.05,-1.62,
2646854.96,715556.44,-1.38,
2646854.77,715555.83,-1.12,
2646858.32,715549.4,2.39,
2646858.83,715549.37,1.83,
2646859.36,715549.37,1.53,
2646859.94,715549.36,1.24,
2646860.56,715549.42,0.94,
2646861.23,715549.55,0.6,
2646861.89,715549.67,0.34,
2646862.54,715549.8,-0.2,
2646863.18,715549.94,-0.73,
2646863.86,715550.06,-1.16,
2646864.6,715550.2,-1.65,
2646865.46,715550.4,-2.08,
2646866.41,715550.62,-2.5,
2646867.41,715550.86,-2.93,
2646868.42,715551.18,-3.33,
2646869.46,715551.56,-3.67,
2646870.51,715552.03,-3.91,
2646871.51,715552.58,-4.17,
2646872.47,715553.2,-4.39,
2646873.4,715553.92,-4.6,
2646874.25,715554.84,-4.78,
2646875,715555.94,-4.9,
2646875.65,715557.27,-5.02,
2646876.21,715558.83,-5.06,
2646876.72,715560.45,-5.07,
2646877.22,715562.06,-5.07,
2646877.72,715563.57,-5.08,
2646878.25,715564.97,-5.1,
2646878.85,715566.25,-5.1,
2646879.47,715567.42,-5.1,
2646880.1,715568.42,-5.1,
2646880.76,715569.31,-5.07,
2646881.44,715570.1,-5.04,
2646882.09,715570.83,-5.01,
2646882.79,715571.51,-4.97,
2646883.49,715572.23,-4.93,
2646884.27,715572.94,-4.86,
2646885.1,715573.71,-4.79,
2646885.98,715574.45,-4.71,
2646886.92,715575.24,-4.63,
2646887.95,715576.07,-4.58,
2646889.07,715576.91,-4.52,
2646890.28,715577.79,-4.51,
2646891.6,715578.74,-4.49,
2646893.03,715579.77,-4.49,
2646894.55,715580.84,-4.5,
2646896.18,715581.98,-4.53,
2646897.9,715583.19,-4.55,
2646899.67,715584.41,-4.54,
2646901.5,715585.65,-4.5,
2646903.39,715586.93,-4.47,
2646905.35,715588.26,-4.43,
2646907.39,715589.58,-4.39,
2646909.46,715590.88,-4.33,
2646911.52,715592.2,-4.3,
2646913.58,715593.53,-4.25,
2646915.64,715594.89,-4.2,
2646917.73,715596.3,-4.11,
2646919.79,715597.81,-4.03,
2646921.83,715599.35,-3.98,
2646923.86,715600.98,-3.95,
2646927.94,715604.51,-3.9,
2646930.01,715606.33,-3.86,
2646932.08,715608.18,-3.83,
2646934.19,715610.03,-3.82,
2646938.58,715613.72,-3.79,
2646936.36,715611.88,-3.77,
2646940.87,715615.53,-3.75,
2646943.2,715617.31,-3.72,
2646945.5,715618.98,-3.7,
2646947.74,715620.54,-3.68,
2646949.88,715621.97,-3.7,
2646960.14,715617.07,-3.32,
2646959.78,715616.1,-3.41,
2646959.3,715615.14,-3.45,
2646958.72,715614.17,-3.47,
2646958.01,715613.17,-3.5,
2646957.16,715612.17,-3.52,
2646956.19,715611.17,-3.56,
2646955.1,715610.18,-3.65,
2646953.92,715609.2,-3.73,
2646952.64,715608.22,-3.85,
2646951.3,715607.23,-3.97,
2646949.9,715606.19,-4.05,
2646948.44,715605.1,-4.15,
2646946.93,715603.97,-4.27,
2646945.36,715602.8,-4.43,
2646943.74,715601.59,-4.56,
2646942.08,715600.36,-4.71,
2646940.38,715599.12,-4.85,
2646938.65,715597.88,-5.02,
2646936.87,715596.64,-5.18,
2646935.06,715595.38,-5.31,
2646933.21,715594.1,-5.44,
2646931.32,715592.81,-5.58,
2646927.53,715590.29,-5.74,
2646929.42,715591.54,-5.85,
2646925.62,715589.07,-5.91,
2646923.67,715587.86,-6,
2646921.7,715586.68,-6.05,
2646919.74,715585.55,-6.08,
2646917.81,715584.44,-6.07,
2646915.88,715583.34,-6.06,
2646913.98,715582.24,-6.04,
2646912.12,715581.17,-6,
2646910.34,715580.16,-5.93,
2646908.65,715579.2,-5.84,
2646907.05,715578.26,-5.76,
2646905.51,715577.34,-5.7,
2646904.03,715576.4,-5.63,
2646902.6,715575.47,-5.57,
2646901.24,715574.56,-5.52,
2646899.95,715573.65,-5.49,
2646898.71,715572.72,-5.47,
2646897.51,715571.77,-5.45,
2646896.33,715570.81,-5.42,
2646895.21,715569.82,-5.41,
2646894.12,715568.85,-5.41,
2646893.06,715567.89,-5.42,
2646892.02,715566.92,-5.45,
2646890.99,715565.97,-5.5,
2646889.99,715565.04,-5.55,
2646889,715564.11,-5.6,
2646888.02,715563.19,-5.64,
2646887.05,715562.28,-5.65,
2646886.08,715561.39,-5.64,
2646885.13,715560.5,-5.63,
2646884.18,715559.63,-5.63,
2646883.25,715558.76,-5.61,
2646882.32,715557.93,-5.6,
2646881.42,715557.07,-5.56,
2646880.5,715556.23,-5.5,
2646879.6,715555.39,-5.42,
2646878.71,715554.56,-5.31,
2646877.84,715553.73,-5.15,
2646876.98,715552.91,-4.98,
2646876.15,715552.09,-4.78,
2646875.33,715551.27,-4.55,
2646874.53,715550.45,-4.3,
2646873.77,715549.63,-4.01,
2646873.01,715548.8,-3.66,
2646872.28,715547.98,-3.26,
2646871.6,715547.18,-2.82,
2646870.97,715546.37,-2.27,
2646870.39,715545.6,-1.67,
2646869.83,715544.8,-1.02,
2646869.32,715543.99,-0.37,
2646868.88,715543.21,0.25,
2646868.5,715542.46,0.56,
2646868.13,715541.69,0.91,
2646867.77,715540.89,1.28,
2646867.43,715540.15,1.68,
2646867.14,715539.44,2.11,
2646869.41,715537.66,2.36,
2646869.69,715537.44,2.31,
2646869.93,715537.19,2.28,
2646870.16,715536.91,2.23,
2646870.42,715536.67,2.18,
2646870.7,715536.47,2.12,
2646871.07,715536.29,2.05,
2646871.41,715536.06,1.94,
2646871.73,715535.76,1.8,
2646872.08,715535.48,1.63,
2646872.45,715535.22,1.45,
2646872.86,715535.02,1.23,
2646873.33,715534.85,1,
2646873.87,715534.73,0.73,
2646874.4,715534.58,0.46,
2646874.98,715534.38,0.17,
2646875.52,715534.13,-0.13,
2646876.15,715533.85,-0.44,
2646876.81,715533.53,-0.76,
2646877.57,715533.2,-1.09,
2646878.41,715532.88,-1.41,
2646879.32,715532.59,-1.74,
2646880.27,715532.3,-2.07,
2646881.26,715531.99,-2.39,
